goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceJujuStack/10-4         	  500000	      2754 ns/op	    2304 B/op	      74 allocs/op
BenchmarkMicroserviceJujuStack/10-4         	  500000	      2747 ns/op	    2304 B/op	      74 allocs/op
BenchmarkMicroserviceJujuStack/10-4         	  500000	      2739 ns/op	    2304 B/op	      74 allocs/op
BenchmarkMicroserviceJujuStack/10-4         	  500000	      2759 ns/op	    2304 B/op	      74 allocs/op
BenchmarkMicroserviceJujuStack/10-4         	  500000	      2750 ns/op	    2304 B/op	      74 allocs/op
BenchmarkMicroserviceJujuStack/10-4         	  500000	      2743 ns/op	    2304 B/op	      74 allocs/op
BenchmarkMicroserviceJujuStack/10-4         	  500000	      2747 ns/op	    2304 B/op	      74 allocs/op
BenchmarkMicroserviceJujuStack/10-4         	  500000	      2764 ns/op	    2304 B/op	      74 allocs/op
BenchmarkMicroserviceJujuStack/10-4         	  500000	      2755 ns/op	    2304 B/op	      74 allocs/op
BenchmarkMicroserviceJujuStack/100-4        	   50000	     26076 ns/op	   21216 B/op	     728 allocs/op
BenchmarkMicroserviceJujuStack/100-4        	   50000	     26138 ns/op	   21216 B/op	     728 allocs/op
BenchmarkMicroserviceJujuStack/100-4        	   50000	     26259 ns/op	   21216 B/op	     728 allocs/op
BenchmarkMicroserviceJujuStack/100-4        	   50000	     26218 ns/op	   21216 B/op	     728 allocs/op
BenchmarkMicroserviceJujuStack/100-4        	   50000	     26102 ns/op	   21216 B/op	     728 allocs/op
BenchmarkMicroserviceJujuStack/100-4        	   50000	     26053 ns/op	   21216 B/op	     728 allocs/op
BenchmarkMicroserviceJujuStack/100-4        	   50000	     26273 ns/op	   21216 B/op	     728 allocs/op
BenchmarkMicroserviceJujuStack/100-4        	   50000	     26428 ns/op	   21216 B/op	     728 allocs/op
BenchmarkMicroserviceJujuStack/100-4        	   50000	     26050 ns/op	   21216 B/op	     728 allocs/op
BenchmarkMicroserviceJujuStack/100-4        	   50000	     26232 ns/op	   21216 B/op	     728 allocs/op
BenchmarkMicroserviceJujuStack/1000-4       	    5000	    251004 ns/op	  183840 B/op	    7196 allocs/op
BenchmarkMicroserviceJujuStack/1000-4       	    5000	    251601 ns/op	  183840 B/op	    7196 allocs/op
